시도,군구,주소,충전소명,기종(대),충전기타입,이용자제한
경기,광명시,경기도 광명시 새터로 44-8,광명아크포레자이위브아파트 2단지,완속,AC완속,이용가능
경기,광명시,경기도 광명시 새터로 44-9,경기 광명신원아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 서독로 100,광명시 애니포바이포(애니오토샵),완속,AC완속,이용가능
경기,광명시,경기도 광명시 서독로 392,주식회사 광명역환승파크,완속,AC완속,이용가능
경기,광명시,경기도 광명시 서독로104번길 14,학온동주민센터,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 서독로104번길 14 ,광명시 학온동 주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 서부샛길 778,디오스텔,완속,AC완속,이용자제한
경기,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)",광명역세권휴먼시아5단지501동,완속,AC완속,이용가능
경기,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)",광명역세권휴먼시아5단지508동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 서원로 25,광명역세권휴먼시아2단지1(206동),완속,AC완속,이용자제한
경기,광명시,경기도 광명시 서원로 25,광명역세권휴먼시아2단지3(202동205동 우측),완속,AC완속,이용자제한
경기,광명시,경기도 광명시 서원로 25,광명역세권휴먼시아2단지2(202동205동 좌측),완속,AC완속,이용자제한
경기,광명시,경기도 광명시 성채로 36,광명역세권휴먼시아3단지301동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채로 36,광명역세권휴먼시아3단지310동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채로 36,광명역세권휴먼시아3단지303동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채로 36,광명역세권휴먼시아3단지312동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채로 37,광명역세권휴먼시아4단지,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 성채로 52 ,광명시 소하2동 주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채안로 26,광명역세권휴먼시아1단지5주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채안로 26,광명역세권휴먼시아1단지6주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채안로 26,광명역세권휴먼시아1단지7주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채안로 26,광명역세권휴먼시아1단지4주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 성채안로 26,광명역세권휴먼시아1단지1주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하1동 1339-2,소하제4노외주차장,급속,DC차데모+DC콤보,이용가능
경기,광명시,경기도 광명시 소하동,광명동굴 제3공영주차장,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 소하동 신촌로 49 ,신촌휴먼시아1단지 아파트,급속,DC차데모+AC3상+DC콤보,이용자제한
경기,광명시,경기도 광명시 소하로 10,소하휴먼시아1단지 103동 B1주차장 10번 기둥,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 10,소하휴먼시아1단지 105동 B1 30번기둥 주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 10,소하휴먼시아1단지 101동 B1주차장 06번기둥,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 144,광명오병이어교회,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 161,LH 광명소하휴먼시아6단지아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 소하로 162,경기광명 광명소하휴먼시아7단지 712동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 162,경기광명 광명소하휴먼시아7단지 710동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 189,광명신촌휴먼시아2단지,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 소하로 190,광명시 광명G타워,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 25,광명시 소하1동행정복지센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 25 ,광명시 소하1동 주민센터,완속,AC완속,이용가능
경기,광명시,"경기도 광명시 소하로 38 (소하동, 휴먼시아2단지아파트)",광명소하휴먼시아2단지,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 97,광명시 이마트(광명소하점),완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하로 97,이마트 광명소하점,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 소하로92번길 11,광명시 소하람2차오피스텔,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하일로 6,광명골드클래스아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 소하일로 7,소하도서관,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 시청로 20,광명시청,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 시청로 20 ,광명시청,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 시청로 20 ,광명시 광명시청,완속,AC완속,이용가능
경기,광명시,경기도 광명시 신기로 21,대호홀딩스,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 신촌로 49,신촌휴먼시아1단지,완속,AC완속,이용가능
경기,광명시,경기도 광명시 아방리3길 16-11,(주)애강그린텍,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 안양천로502번길 12,광명리버빌주공101동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 안현로 25,광명시 하안2동주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 안현로 54 ,광명시 하안4동 주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 양달로 7,광명역푸르지오아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 양지로 16,광명역써밋플레이스아파트입주자대표회의,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 양지로 16,광명역써밋플레이스아파트 입주자대표회의,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 양지로 16,아브뉴프랑상가,완속,AC완속,이용가능
경기,광명시,경기도 광명시 양지로 19,광명 유플래닛,완속,AC완속,이용가능
경기,광명시,경기도 광명시 양지로 9,데시앙스튜디오유-스트리트몰,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 연서일로 10,광명시 연서도서관,급속,DC차데모+DC콤보,이용가능
경기,광명시,경기도 광명시 영당로22번길 5,성원아파트1(1동),완속,AC완속,이용자제한
경기,광명시,경기도 광명시 영당로22번길 5,성원아파트2(2동),완속,AC완속,이용자제한
경기,광명시,경기도 광명시 오리로 1035,기아 경륜대리점,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 오리로 613,광명시 보건소주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 오리로 701,차량등록사업소 뒷편 주차장,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 오리로 747,광명시 하안1동행정복지센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 오리로 747 ,광명시 하안1동 주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 오리로 835,경기광명 철산센트럴푸르지오1,완속,AC완속,이용가능
경기,광명시,경기도 광명시 오리로 835,경기광명 철산센트럴푸르지오2,완속,AC완속,이용가능
경기,광명시,경기도 광명시 오리로 835,경기광명 철산센트럴푸르지오3,완속,AC완속,이용가능
